# T        <|M|>         <E>           chi            C
  2.3686     0.42136189    -1.26709111   394.40177141    35.32667748
  2.3701     0.41263056    -1.26131556   396.97805163    35.27579483
  2.3716     0.41307822    -1.26351289   354.50369151    31.00814899
  2.3731     0.37477822    -1.24958578   400.31261532    33.26064584
  2.3746     0.41874511    -1.26234889   382.87915248    33.84157175
  2.3761     0.38066322    -1.24903244   364.87345844    30.04936104
  2.3776     0.36426444    -1.24125156   381.39044292    32.67116225
  2.3791     0.35260400    -1.23885111   361.97225504    30.98036015
  2.3807     0.39833367    -1.24981511   381.42232574    33.99288813
  2.3822     0.36143189    -1.23737333   342.26885784    30.10894296
  2.3837     0.36245144    -1.23596022   360.19329641    31.27910396
  2.3852     0.37313844    -1.23806156   336.08001943    30.44000340
  2.3867     0.35199900    -1.23227489   355.16245320    30.14369883
  2.3882     0.33716911    -1.22951289   365.96383374    30.69523719
  2.3897     0.31742478    -1.21723378   306.78410994    27.90019677
  2.3912     0.37377211    -1.23511044   375.32476173    31.71531134
  2.3927     0.30173800    -1.21450911   328.16542203    27.86002450
  2.3942     0.37207133    -1.22877289   348.71213317    32.13411283
  2.3957     0.34988044    -1.22336378   323.91964439    29.56836070
  2.3972     0.31392933    -1.21544311   368.30758115    30.44156042
  2.3987     0.31176367    -1.20974733   312.56274966    27.50698391
  2.4003     0.36265067    -1.22030044   323.54962395    27.91363267
  2.4018     0.32478611    -1.20793956   311.49840502    28.51669319
  2.4033     0.33588556    -1.21273356   344.55566756    29.65392795
  2.4048     0.30585722    -1.20539444   311.71096512    26.45492758
  2.4063     0.34743067    -1.21273778   353.30172599    31.19085918
  2.4078     0.32640967    -1.20611800   307.45727187    28.19237388
  2.4093     0.32581722    -1.20663556   364.93350906    30.82990041
  2.4108     0.32563256    -1.20523422   323.95075517    28.35338711
  2.4123     0.32201233    -1.19927267   306.25302027    27.95374877
  2.4138     0.28013422    -1.18911689   281.69363608    25.31106438
  2.4153     0.35072378    -1.20526733   327.32371343    29.41309540
  2.4168     0.31028478    -1.19208511   316.30897842    28.22337911
  2.4183     0.29797978    -1.18839911   273.65778287    25.77953154
  2.4198     0.28293789    -1.18398556   285.83569323    24.96235351
  2.4214     0.32415444    -1.19581244   338.15753693    28.15750986
  2.4229     0.32011622    -1.19338533   307.60285581    27.75358493
  2.4244     0.27782844    -1.17867067   286.01580205    25.91784008
  2.4259     0.30834456    -1.18529022   306.15367528    25.89125967
  2.4274     0.27089422    -1.18088378   267.19798981    24.41308164
  2.4289     0.29645822    -1.17893622   281.52531626    26.01895965
  2.4304     0.26066900    -1.17304822   263.54892787    24.79739271
  2.4319     0.28914811    -1.17572511   277.39287620    24.48649671
  2.4334     0.29882844    -1.18076867   300.88767775    27.79096963
  2.4349     0.26284511    -1.17248489   286.11033757    25.43918302
  2.4364     0.25899600    -1.16741400   238.43850653    23.47103104
  2.4379     0.29028789    -1.17325400   268.08552056    25.29674331
  2.4394     0.28275622    -1.16950622   279.73372178    24.91602744
