# T        <M>         <E>           chi            C            frac_acept
  1.7580     0.96271552    -1.87677825     0.78519680     3.28907840     0.03588910
  1.7600     0.96147008    -1.87320445     0.80025750     3.33445720     0.03667069
  1.7620     0.96224960    -1.87579392     0.94480829     3.23706861     0.03597103
  1.7640     0.96182080    -1.87379964     0.77373442     3.35124943     0.03671678
  1.7660     0.96240064    -1.87463298     0.66901566     3.03515097     0.03664029
  1.7680     0.96143680    -1.87266559     0.76529180     3.22214647     0.03716551
  1.7700     0.95995328    -1.86951681     0.84548934     3.33145295     0.03814523
  1.7720     0.96113280    -1.87101574     0.76671680     3.20418201     0.03745261
  1.7740     0.96128128    -1.87191684     0.76829444     3.16932997     0.03752623
  1.7760     0.96054080    -1.86928515     0.75004081     3.30734449     0.03789654
  1.7780     0.96014208    -1.86868484     0.78992883     3.30583190     0.03839328
  1.7800     0.95988160    -1.86762110     0.80500858     3.38485850     0.03868006
  1.7820     0.95946112    -1.86730626     0.89642751     3.48211673     0.03885577
  1.7840     0.95893696    -1.86511228     0.83197242     3.39033905     0.03954167
  1.7860     0.95893888    -1.86647939     0.99561310     3.32683769     0.03920720
  1.7880     0.95882176    -1.86440834     0.83494538     3.37759180     0.03961752
  1.7900     0.95865536    -1.86416510     0.83366354     3.44985995     0.03980636
  1.7920     0.95841856    -1.86398595     0.82456961     3.24318643     0.04004673
  1.7940     0.95783872    -1.86238337     0.87037523     3.41670140     0.04048298
  1.7960     0.95768448    -1.86140411     0.85297561     3.40915927     0.04071438
  1.7980     0.95698880    -1.86060284     0.94180468     3.53259931     0.04100948
  1.8000     0.95608064    -1.85757950     0.94963882     3.56784202     0.04179780
  1.8020     0.95665472    -1.85862274     0.91834959     3.51817722     0.04161920
  1.8040     0.95573056    -1.85597187     0.92375749     3.66375365     0.04232591
  1.8060     0.95506368    -1.85525502     1.01198875     3.59425160     0.04268918
  1.8080     0.95547840    -1.85589122     0.97774822     3.49511883     0.04255891
  1.8100     0.95636544    -1.85698687     0.91999500     3.53099907     0.04201576
  1.8120     0.95531904    -1.85456255     0.98353661     3.71988857     0.04277816
  1.8140     0.95565248    -1.85502975     0.93897687     3.70617898     0.04278968
  1.8160     0.95398656    -1.85214849     1.12975559     3.76115332     0.04382412
  1.8180     0.95375104    -1.85087361     1.00099882     3.66927348     0.04395055
  1.8200     0.95350912    -1.85042686     0.97070958     3.56927560     0.04425109
  1.8220     0.95460352    -1.85235710     0.96936470     3.64846670     0.04379756
  1.8240     0.95428352    -1.85150462     0.90352310     3.46168534     0.04422933
  1.8260     0.95128768    -1.84535684     1.21869848     4.11852478     0.04592310
  1.8280     0.95247616    -1.84718848     1.08881311     3.96756948     0.04547534
  1.8300     0.95202240    -1.84531839     1.00992609     3.75020242     0.04589942
  1.8320     0.95217984    -1.84524163     0.98365704     3.73434071     0.04613371
  1.8340     0.94984128    -1.84213380     1.54844556     4.16178279     0.04671654
  1.8360     0.95099264    -1.84291844     1.00270821     3.75667568     0.04668582
  1.8380     0.95149696    -1.84387967     1.07282073     3.81924523     0.04658852
  1.8400     0.95052544    -1.84086907     1.01798337     3.70195809     0.04702637
  1.8420     0.94908352    -1.83840763     1.21605550     4.15545382     0.04789822
  1.8440     0.95031552    -1.84060677     1.05004603     3.82249751     0.04745269
  1.8460     0.94933248    -1.83751937     1.03861662     3.85343279     0.04818116
  1.8480     0.94913728    -1.83785984     1.12582414     3.94790440     0.04807714
  1.8500     0.94958272    -1.83792124     1.03091388     3.70920469     0.04827109
  1.8520     0.94766528    -1.83315715     1.13631589     3.99810641     0.04950718
  1.8540     0.94764992    -1.83449215     1.26368946     4.20501955     0.04934459
  1.8560     0.94804736    -1.83486337     1.19698085     4.09946612     0.04963233
  1.8580     0.94775680    -1.83306243     1.18197320     3.96015802     0.04962977
  1.8600     0.94592640    -1.82936582     1.28971598     4.11291732     0.05079832
  1.8620     0.94643712    -1.83036161     1.16892362     3.91977806     0.05066485
  1.8640     0.94688640    -1.83127676     1.23360618     4.26260880     0.05076727
  1.8660     0.94540352    -1.82799361     1.39345721     4.19489366     0.05135683
  1.8680     0.94580096    -1.82805760     1.14057527     3.96123571     0.05154599
  1.8700     0.94589376    -1.82830334     1.12262079     3.87405208     0.05155463
  1.8720     0.94479936    -1.82596608     1.28112040     4.12293280     0.05211570
  1.8740     0.94072512    -1.82321156     3.41841327     4.59116715     0.05309350
  1.8760     0.94393920    -1.82462596     1.37769842     4.35750889     0.05282433
  1.8780     0.94374400    -1.82347782     1.37549937     4.20399167     0.05324809
  1.8800     0.94212800    -1.82006016     1.36803725     4.26421081     0.05436383
  1.8820     0.94145216    -1.81720572     1.38612851     4.44896145     0.05502573
  1.8840     0.94122752    -1.81687680     1.44309992     4.37316660     0.05478440
  1.8860     0.94181248    -1.81809663     1.43125532     4.38204527     0.05491402
  1.8880     0.94153600    -1.81767552     1.42146114     4.19353371     0.05486665
  1.8900     0.94143744    -1.81730043     1.40729851     4.34593648     0.05489162
  1.8920     0.94027968    -1.81481344     1.45634018     4.37425858     0.05573499
  1.8940     0.93886912    -1.81222658     1.52779307     4.32280613     0.05670862
  1.8960     0.93999424    -1.81384069     1.44756966     4.24015481     0.05641224
  1.8980     0.93841344    -1.80996742     1.49397323     4.15058955     0.05721752
  1.9000     0.93820096    -1.80960261     1.65580304     4.44336349     0.05734203
  1.9020     0.93868480    -1.81037823     1.53102670     4.26951100     0.05738396
  1.9040     0.93632960    -1.80512125     1.73434852     4.67621383     0.05875511
  1.9060     0.93658304    -1.80531966     1.57254130     4.45475082     0.05872791
  1.9080     0.93604160    -1.80496772     1.68015829     4.37892533     0.05912062
  1.9100     0.93656512    -1.80461697     1.62989620     4.56126878     0.05910334
  1.9120     0.93418112    -1.80086399     1.88764692     4.73700847     0.06045273
  1.9140     0.93590720    -1.80211453     1.49739804     4.49446933     0.05978988
  1.9160     0.93494144    -1.80034949     1.73776361     4.84607020     0.06064157
  1.9180     0.93474368    -1.79895294     1.60636919     4.68741423     0.06102949
  1.9200     0.93299584    -1.79693436     1.81578314     4.74016770     0.06150862
  1.9220     0.93045248    -1.79417725     3.34617158     5.17419949     0.06257988
  1.9240     0.93181568    -1.79498241     1.89264369     4.76010373     0.06246369
  1.9260     0.93070976    -1.79127678     1.90984222     4.79128448     0.06358712
  1.9280     0.92960832    -1.79053059     2.32697923     4.77837638     0.06378716
  1.9300     0.93049536    -1.79088128     1.98326140     4.93111034     0.06372058
  1.9320     0.93138304    -1.79115779     1.97328867     4.97945271     0.06350646
  1.9340     0.93054976    -1.78944636     1.76767759     4.82752126     0.06438952
  1.9360     0.92716928    -1.78382206     2.23706762     4.93879374     0.06581572
  1.9380     0.92875648    -1.78729217     2.03112052     4.96157251     0.06492883
  1.9400     0.93126272    -1.79039227     1.70744479     4.82581793     0.06411138
  1.9420     0.92622272    -1.78132989     2.34140832     5.15189341     0.06652306
  1.9440     0.92822976    -1.78289666     2.03114042     4.96322660     0.06589414
  1.9460     0.92793600    -1.78162050     1.87006316     4.98631727     0.06687546
  1.9480     0.92638400    -1.77917692     1.95417467     4.94595284     0.06764745
  1.9500     0.92626560    -1.77982208     2.24496850     5.18017604     0.06754247
  1.9520     0.92493696    -1.77645308     2.23507945     4.96424906     0.06871742
  1.9540     0.92301248    -1.77486596     2.55702013     5.24549668     0.06901796
  1.9560     0.92204608    -1.77456769     3.44813948     5.55560417     0.06941100
  1.9580     0.92422528    -1.77367677     2.03495949     5.18163207     0.06928970
  1.9600     0.92283008    -1.77262715     2.43001559     5.20152224     0.06981684
  1.9620     0.92121856    -1.76964866     2.51354547     5.24732217     0.07083209
  1.9640     0.92050304    -1.76726525     2.51056597     5.55627730     0.07154423
  1.9660     0.92157696    -1.76980357     2.50464295     5.45017061     0.07094891
  1.9680     0.91796416    -1.76510331     4.41952291     5.91809267     0.07228870
  1.9700     0.91913920    -1.76330238     2.25765505     5.13683964     0.07265005
  1.9720     0.92002624    -1.76561403     2.47897370     5.55496529     0.07270190
  1.9740     0.92058240    -1.76540156     2.32978244     5.29708316     0.07222629
  1.9760     0.91498304    -1.75716353     3.33273439     5.91814758     0.07474807
  1.9780     0.91646336    -1.76150011     3.97930302     5.85126886     0.07411178
  1.9800     0.91797696    -1.76196861     2.70719363     5.41112548     0.07378116
  1.9820     0.91585984    -1.75559556     2.60455688     5.62569414     0.07569802
  1.9840     0.91812544    -1.75945473     2.24065024     5.31968696     0.07467862
  1.9860     0.91486080    -1.75411584     2.92951349     5.74863512     0.07617171
  1.9880     0.91420736    -1.75198715     2.64493605     5.46729697     0.07700260
  1.9900     0.91131072    -1.74836987     3.22413490     5.93329522     0.07832030
