# T        <M>         <E>           chi            C            frac_acept
  1.9380     0.92932267    -1.78757957     1.35030254     3.38469621     0.06485275
  1.9400     0.92773911    -1.78357154     1.48095420     3.43890446     0.06621124
  1.9420     0.92891600    -1.78599290     1.34335717     3.28782329     0.06559845
  1.9440     0.92912711    -1.78491018     1.28593659     3.46048407     0.06586762
  1.9460     0.92762622    -1.78341070     1.48676471     3.48597377     0.06629504
  1.9480     0.92465067    -1.77934402     1.81471374     3.53691109     0.06777978
  1.9500     0.92607822    -1.77819821     1.36855840     3.36075022     0.06780667
  1.9520     0.92607600    -1.77813783     1.41383206     3.57940041     0.06801916
  1.9540     0.92653778    -1.77895909     1.32595404     3.37190218     0.06793670
  1.9560     0.92498978    -1.77572620     1.53216512     3.74946234     0.06880576
  1.9580     0.92439600    -1.77530580     1.60020563     3.66308050     0.06922051
  1.9600     0.92505822    -1.77602219     1.43976788     3.43251223     0.06876598
  1.9620     0.92456711    -1.77300617     1.42213106     3.66590096     0.06969016
  1.9640     0.92218178    -1.76974933     1.65526394     3.67611804     0.07061746
  1.9660     0.91976044    -1.76547911     1.62713404     3.60931968     0.07229979
  1.9680     0.92102133    -1.76743732     1.63228434     3.57823952     0.07166300
  1.9700     0.91969822    -1.76675916     2.29283636     3.95986785     0.07201151
  1.9720     0.91853556    -1.76371381     1.79913681     3.77685158     0.07286657
  1.9740     0.92052356    -1.76597338     1.90397813     3.96045868     0.07205930
  1.9760     0.92257867    -1.76859999     1.44329704     3.69786613     0.07158232
  1.9780     0.91813733    -1.76025243     1.64576255     3.74567648     0.07381610
  1.9800     0.91886489    -1.76166222     1.73489102     3.80054696     0.07376809
  1.9820     0.91804578    -1.75993332     1.82359925     3.99221145     0.07420818
  1.9840     0.91645600    -1.75717686     1.91040568     3.90001768     0.07503390
  1.9860     0.91841422    -1.75862939     1.53318963     3.70292043     0.07458936
  1.9880     0.91442400    -1.75221241     1.88192641     3.88156660     0.07675313
  1.9900     0.91365467    -1.75144717     1.96456556     3.81930542     0.07706808
  1.9920     0.91406533    -1.75182842     1.76751225     3.71891747     0.07692672
  1.9940     0.91378444    -1.75030488     1.97033097     4.14334773     0.07734102
  1.9960     0.91352133    -1.74997865     2.02675739     4.11591109     0.07773488
  1.9980     0.90761156    -1.74278134     2.64007138     3.99726196     0.08005579
  2.0000     0.91250133    -1.74566750     1.70167648     3.93395890     0.07907204
  2.0020     0.90846400    -1.74020617     2.44841024     4.35312604     0.08081483
  2.0040     0.91017244    -1.74258043     1.94734964     3.80008847     0.08001823
  2.0060     0.90734178    -1.73944094     2.34791010     4.15681068     0.08107221
  2.0080     0.90631911    -1.73723373     2.99704750     4.41305597     0.08180414
  2.0100     0.91060400    -1.74209334     2.03732078     4.19847604     0.08031451
  2.0120     0.90936756    -1.73934669     1.85905927     3.79688639     0.08139383
  2.0140     0.90063333    -1.73082492     3.89217302     4.40671365     0.08428441
  2.0160     0.90528133    -1.73236005     2.45309664     4.38474207     0.08372074
  2.0180     0.90497289    -1.73116712     2.13168030     3.94432642     0.08384988
  2.0200     0.90589200    -1.73186400     1.95485474     4.01531409     0.08392367
  2.0220     0.90354978    -1.72963106     2.41002295     4.17612589     0.08507013
  2.0240     0.90463911    -1.73020004     2.27813008     4.10098581     0.08446534
  2.0260     0.90369556    -1.72913689     2.48526465     4.25342416     0.08508057
  2.0280     0.89835689    -1.72074938     3.15384251     4.65111198     0.08741859
  2.0300     0.90115111    -1.72390583     2.98339156     4.69595378     0.08687671
  2.0320     0.90184400    -1.72226573     2.24291038     4.23374040     0.08705097
  2.0340     0.89920889    -1.72301247     3.35064488     4.38138877     0.08742926
  2.0360     0.89903378    -1.71833952     2.80077546     4.71784462     0.08836301
  2.0380     0.89625511    -1.71402128     2.66160291     4.29255185     0.08977573
  2.0400     0.89931289    -1.71872618     2.47390073     4.11801656     0.08853571
  2.0420     0.89447733    -1.71241428     3.14305478     4.71799275     0.09087795
  2.0440     0.89351333    -1.70994489     3.28957150     4.65902377     0.09173524
  2.0460     0.89373467    -1.70947199     3.32564237     4.58784768     0.09152497
  2.0480     0.89241422    -1.70578135     2.71349770     4.46566957     0.09290992
  2.0500     0.89394889    -1.70754845     2.84238571     4.47957145     0.09239848
  2.0520     0.89276089    -1.70541773     2.74516009     4.40838711     0.09274210
  2.0540     0.89213600    -1.70365864     2.61392751     4.33775473     0.09361583
  2.0560     0.89162667    -1.70233422     2.65228360     4.46826933     0.09425418
  2.0580     0.88933689    -1.70076358     3.40367013     4.79844589     0.09461226
  2.0600     0.88860978    -1.69988529     4.22331418     4.94157198     0.09479385
  2.0620     0.89175778    -1.70049692     2.55144517     4.50962818     0.09507279
  2.0640     0.88632622    -1.69464708     3.88256587     4.88687729     0.09682359
  2.0660     0.88984933    -1.69742842     2.80982430     4.53659360     0.09577160
  2.0680     0.88522044    -1.69122486     3.39015752     4.57717427     0.09803783
  2.0700     0.87946622    -1.68741071     5.51768865     5.40289405     0.09935921
  2.0720     0.88162489    -1.68501594     3.88755182     4.92632954     0.10008291
  2.0740     0.87683600    -1.68202751     4.81862866     5.03969844     0.10135205
  2.0760     0.87517333    -1.68097154     5.91273641     5.06506975     0.10188327
  2.0780     0.87040711    -1.67615731     9.14620658     5.73158624     0.10323131
  2.0800     0.87976756    -1.68070751     3.53487203     4.88563501     0.10173524
  2.0820     0.87911156    -1.67905776     3.91031310     5.08488431     0.10248294
  2.0840     0.87325911    -1.67161605     5.04821104     5.18709272     0.10507190
  2.0860     0.87819600    -1.67725161     3.34580115     4.79774882     0.10336245
  2.0880     0.87855645    -1.67672533     3.44164223     4.80033422     0.10319553
  2.0900     0.87445022    -1.67158754     4.53161222     5.37278071     0.10522927
  2.0920     0.87435911    -1.66980708     3.84577696     5.04108867     0.10549666
  2.0940     0.87685511    -1.67244619     3.44618329     4.82756981     0.10462270
  2.0960     0.87166889    -1.66632005     4.38149554     5.00989026     0.10728435
  2.0980     0.87155467    -1.66637508     4.66478174     5.08938299     0.10691583
  2.1000     0.86709378    -1.65955379     5.58983129     5.20186961     0.10884688
  2.1020     0.87685911    -1.67141956     3.57288107     5.21754955     0.10555400
  2.1040     0.87153200    -1.66173334     3.57312148     5.03440036     0.10872308
  2.1060     0.86914578    -1.65866043     4.03698203     5.27978774     0.10949501
  2.1080     0.85526311    -1.64500001    10.36342740     6.45316543     0.11432820
  2.1100     0.86561333    -1.65385604     4.66649683     5.23123229     0.11127025
  2.1120     0.86755734    -1.65631732     4.62905159     5.29133984     0.11069058
  2.1140     0.86110889    -1.64787375     5.17946549     5.28585984     0.11382788
  2.1160     0.85931200    -1.64918493     8.24414878     5.96806898     0.11306239
  2.1180     0.86092133    -1.64610755     5.27045470     5.64031546     0.11451890
  2.1200     0.85710800    -1.64260529     5.53930221     5.41512204     0.11541419
  2.1220     0.85960133    -1.64376798     5.03786336     5.47906306     0.11497877
  2.1240     0.85100800    -1.63770217     7.81546022     5.89659491     0.11733258
  2.1260     0.84921289    -1.63030582     6.65683179     6.26437617     0.11985353
  2.1280     0.84991556    -1.63182667     6.57178876     5.98766115     0.11930253
  2.1300     0.85274000    -1.63368799     5.35280903     5.52369742     0.11865240
  2.1320     0.85101733    -1.62891286     5.41628289     5.70828155     0.11977684
  2.1340     0.85277778    -1.62862049     4.87337690     5.44903758     0.11995799
  2.1360     0.85293244    -1.62959559     5.17163894     5.41805195     0.11995355
  2.1380     0.85230311    -1.62984982     5.81303113     5.78084378     0.12005023
  2.1400     0.85196667    -1.62733240     5.56094124     5.55292366     0.12072615
