# T        <|M|>         <E>           chi            C
  2.4258     0.28537067    -1.18310378   306.90886088    26.92854777
  2.4288     0.28373056    -1.18077978   295.24494097    25.62126731
  2.4318     0.29033122    -1.17855356   275.47892069    26.10026781
  2.4348     0.29200489    -1.17439622   278.01626749    25.52462865
  2.4379     0.26874178    -1.16770622   251.30330152    23.55380386
  2.4409     0.26049467    -1.16296267   241.92544709    22.49027708
  2.4439     0.28554100    -1.16366867   248.45077264    23.80936681
  2.4470     0.26014311    -1.15720578   238.95482059    22.67756568
  2.4500     0.27268733    -1.15372067   227.98212339    22.36398826
  2.4500     0.27814889    -1.15566667    39.20426622     3.55070050
  2.4561     0.21610074    -1.13964000    29.16567959     3.30465829
  2.4621     0.26430148    -1.15263556    38.97273686     3.91700417
  2.4682     0.19788741    -1.13137926    27.44300146     3.25472141
  2.4742     0.27942296    -1.13215556    37.11275788     3.52324584
  2.4803     0.23105630    -1.12488889    29.23586063     2.66974958
  2.4864     0.18707111    -1.11388444    18.68314096     2.65283111
  2.4924     0.20513481    -1.11295704    26.10243544     2.93551972
  2.4985     0.20623778    -1.10230815    26.35448579     2.93225531
  2.5045     0.20588074    -1.09995407    20.41654058     2.55446354
  2.5106     0.20757630    -1.09739407    27.11172293     2.83917948
  2.5167     0.24393407    -1.10919407    31.94391842     2.91000967
  2.5227     0.20036370    -1.08412148    19.26161832     2.68120914
  2.5288     0.17296963    -1.08005778    20.73050195     2.79516778
  2.5348     0.19314222    -1.07785185    22.33496945     2.75651078
  2.5409     0.20544222    -1.07820741    29.95149939     3.05394685
  2.5470     0.19340370    -1.07482815    20.84859366     2.63398317
  2.5530     0.17668000    -1.06563111    18.46129603     2.30545569
  2.5591     0.19160000    -1.06427556    18.04300934     2.45385102
  2.5652     0.18607333    -1.04977185    16.44849813     2.44121817
  2.5712     0.17839926    -1.05851556    20.54682980     2.56517119
  2.5773     0.16529111    -1.04594222    19.69076576     2.68317064
  2.5833     0.14800074    -1.03471259    14.03845532     2.55320565
  2.5894     0.16930815    -1.03596889    14.46007228     2.32586398
  2.5955     0.15712889    -1.03466074    15.35987907     2.37184770
  2.6015     0.18569111    -1.02612741    21.95779742     2.68092127
  2.6076     0.16784519    -1.03029185    15.25444936     2.31552353
  2.6136     0.16004815    -1.01389185    17.02713847     2.40442032
  2.6197     0.15717407    -1.01540889    14.68342704     2.26820835
  2.6258     0.12625852    -1.01026815     9.70889893     2.10155295
  2.6318     0.16251704    -1.00482667    15.76332876     2.52951756
  2.6379     0.15024741    -1.00290370    13.78697904     2.00737119
  2.6439     0.15903333    -1.00320148    14.95739599     2.12868360
  2.6500     0.15383704    -0.99748889    13.44392797     2.09504375
  2.6561     0.13974963    -0.99457778    10.44132291     1.94472261
  2.6621     0.13489556    -0.99240444    11.25983552     2.21619852
  2.6682     0.13367556    -0.98608593    12.68185759     2.26092534
  2.6742     0.14613407    -0.98144593    10.82418266     2.20129168
  2.6803     0.13764222    -0.97964148    10.57166227     1.89734686
  2.6864     0.13150074    -0.96623556    10.32724474     2.04664528
  2.6924     0.14131630    -0.97506222    11.83399511     2.03975663
  2.6985     0.13479852    -0.96821333    11.72258449     2.04934353
  2.7045     0.12433556    -0.95885926    10.12108067     1.92275397
  2.7106     0.12695630    -0.95688741     8.89493384     1.79349776
  2.7167     0.15147778    -0.96055111    13.00371204     2.02306747
  2.7227     0.13966370    -0.95234222    11.16857501     1.87000039
  2.7288     0.13146444    -0.94667852     9.22783034     1.93728686
  2.7348     0.11956815    -0.93731407     8.04431809     1.84435578
  2.7409     0.13685556    -0.95013630    10.28543779     1.90000507
  2.7470     0.12588000    -0.93773481     9.74082320     1.89502162
  2.7530     0.13889259    -0.94159556    11.88625138     1.93368453
  2.7591     0.13273259    -0.93481037     8.19841719     1.77856563
  2.7652     0.11480148    -0.92401926     7.01412826     1.68820923
  2.7712     0.12052074    -0.92166519     8.35987974     1.67758427
  2.7773     0.12035333    -0.92165926     7.97271584     1.85644313
  2.7833     0.12706815    -0.91789778     8.59468666     1.75340167
  2.7894     0.12222667    -0.91743111     8.53930753     1.83151105
  2.7955     0.10962519    -0.91274370     6.73162716     1.75289819
  2.8015     0.11796444    -0.91210963     8.04742331     1.69538574
  2.8076     0.11123926    -0.90453333     7.00201379     1.66439059
  2.8136     0.11572519    -0.89883407     7.43671948     1.66989462
  2.8197     0.11584741    -0.89494667     7.62635018     1.67727303
  2.8258     0.11461111    -0.89072000     6.79458684     1.67162294
  2.8318     0.11347111    -0.90185926     7.00079160     1.73612555
  2.8379     0.10465259    -0.88373481     5.73080113     1.63328919
  2.8439     0.11210148    -0.88672000     7.55729915     1.61851024
  2.8500     0.11023333    -0.88410370     6.52979628     1.77233571
  2.8561     0.11797704    -0.88309185     7.06766300     1.52093705
